Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,F:System.Windows.Forms.ToolStripItemDisplayStyle.Text,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,T:System.Windows.Forms.ToolStripItemDisplayStyle,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,103,12,P:System.Windows.Forms.ToolStripItem.DisplayStyle,,,,,this.btnEdit.DisplayStyle = System.Windows.Forms.ToolStripItemDisplayStyle.Text;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,99,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnAdd.Click += new System.EventHandler(this.btnAdd_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,99,12,E:System.Windows.Forms.ToolStripItem.Click,,,,,this.btnAdd.Click += new System.EventHandler(this.btnAdd_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,98,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnAdd.Text = ""Add Database"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,98,12,P:System.Windows.Forms.ToolStripItem.Text,,,,,"this.btnAdd.Text = ""Add Database"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,97,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnAdd.Size = new System.Drawing.Size(84, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,97,12,P:System.Windows.Forms.ToolStripItem.Size,,,,,"this.btnAdd.Size = new System.Drawing.Size(84, 22);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,96,12,T:System.Windows.Forms.ToolStripButton,,,,,"this.btnAdd.Name = ""btnAdd"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,96,12,P:System.Windows.Forms.ToolStripItem.Name,,,,,"this.btnAdd.Name = ""btnAdd"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,95,12,T:System.Windows.Forms.ToolStripButton,,,,,this.btnAdd.ImageTransparentColor = System.Drawing.Color.Magenta;
